Time	Group
17.5	Ozon_Old
2.4	Ozon_Old
0.0	Ozon_Old
0.65	Ozon_Old
22.23	Ozon_Old
1.2	Ozon_Old
2.08	Ozon_Old
4.97	Ozon_Old
0.0	Ozon_Old
27.65	Ozon_Old
15.67	Ozon_Old
0.0	Ozon_Old
0.4	Ozon_Old
17.85	Ozon_Old
22.18	Ozon_Old
17.33	Ozon_Old
0.0	Ozon_Old
0.0	Ozon_Old
69.93	Ozon_Old
0.0	Ozon_Old
0.0	Ozon_Old
31.22	Ozon_Old
77.17	Ozon_Old
0.0	Ozon_Old
4.08	Ozon_Old
17.48	Ozon_Old
24.2	Ozon_Old
19.33	Ozon_Old
3.52	Ozon_Old
0.0	Ozon_Old
22.5	Ozon_Old
17.25	Ozon_Old
0.42	Ozon_Old
3.65	Ozon_Old
2.07	Ozon_Old
0.0	Ozon_Old
0.0	Ozon_Old
0.0	Ozon_Old
0.0	Ozon_Old
0.0	Ozon_Old
191.6	Ozon_Old
23.02	Ozon_Old
19.88	Ozon_Old
0.0	Ozon_Old
0.0	Ozon_Old
52.1	Ozon_Old
23.4	Ozon_Old
0.0	Ozon_Old
43.03	Ozon_Old
46.95	Ozon_Old
0.0	Ozon_Old
45.57	Ozon_Old
22.15	Ozon_Old
0.07	Ozon_Old
0.07	Ozon_Old
1.22	Ozon_Old
91.02	Ozon_Old
0.07	Ozon_Old
74.05	Ozon_Old
3.55	Ozon_Old
4.32	Ozon_Old
0.28	Ozon_Old
3.05	Ozon_Old
4.85	Ozon_Old
0.0	Ozon_Old
4.17	Ozon_Old
40.25	Ozon_Old
1.18	Ozon_Old
54.28	Ozon_Old
1.2	Ozon_Old
0.0	Ozon_Old
1.55	Ozon_Old
3.22	Ozon_Old
3.9	Ozon_Old
5.7	Ozon_Old
73.53	Ozon_Old
28.87	Ozon_Old
0.0	Ozon_Old
0.0	Ozon_Old
0.0	Ozon_Old
0.0	Ozon_Old
19.48	Ozon_Old
18.52	Ozon_Old
19.8	Ozon_Old
23.6	Ozon_Old
22.37	Ozon_Old
22.45	Ozon_Old
21.2	Ozon_Old
0.0	Ozon_Old
0.0	Ozon_Old
19.45	Ozon_Old
91.1	Ozon_Old
21.27	Ozon_Old
2.48	Ozon_Old
3.82	Ozon_Old
23.83	Ozon_Old
22.7	Ozon_Old
21.03	Ozon_Old
23.3	Ozon_Old
16.58	Ozon_Old
6.03	Ozon_Old
27.6	Ozon_Old
29.12	Ozon_Old
5.08	Ozon_Old
0.0	Ozon_Old
18.17	Ozon_Old
0.0	Ozon_Old
19.82	Ozon_Old
0.0	Ozon_Old
27.28	Ozon_Old
21.38	Ozon_Old
29.25	Ozon_Old
48.23	Ozon_Old
20.77	Ozon_Old
22.3	Ozon_Old
1.82	Ozon_Old
1.98	Ozon_Old
19.27	Ozon_Old
27.15	Ozon_Old
0.03	Ozon_Old
16.63	Ozon_Old
3.8	Ozon_Old
3.77	Ozon_Old
7.12	Ozon_Old
0.0	Ozon_Old
16.33	Ozon_Old
20.5	Ozon_Old
18.57	Ozon_Old
24.7	Ozon_Old
0.0	Ozon_Old
22.28	Ozon_Old
3.07	Ozon_Old
0.0	Ozon_Old
0.0	Ozon_Old
0.0	Ozon_Old
0.0	Ozon_Old
0.0	Ozon_Old
20.38	Ozon_Old
0.0	Ozon_Old
2.1	Ozon_Old
1.22	Ozon_Old
3.87	Ozon_Old
0.0	Ozon_Old
1.57	Ozon_Old
0.43	Ozon_Old
0.0	Ozon_Old
16.8	Ozon_Old
17.62	Ozon_Old
0.0	Ozon_Old
36.03	Ozon_Old
0.0	Ozon_Old
6.05	Ozon_Old
1.82	Ozon_Old
0.0	Ozon_Old
0.0	Ozon_Old
23.02	Ozon_Old
0.0	Ozon_Old
2.37	Ozon_Old
20.35	Ozon_Old
26.95	Ozon_Old
0.0	Ozon_Old
0.0	Ozon_Old
6.07	Ozon_Old
14.87	Ozon_Old
4.5	Ozon_Old
0.1	Ozon_Old
0.4	Ozon_Old
0.03	Ozon_Old
1.7	Ozon_Old
16.87	Ozon_Old
1.43	Ozon_Old
0.15	Ozon_Old
0.05	Ozon_Old
25.57	Ozon_Old
0.0	Ozon_Old
0.0	Ozon_Old
5.58	Ozon_Old
15.48	Ozon_Old
0.0	Ozon_Old
7.53	Ozon_Old
0.38	Ozon_Old
0.0	Ozon_Old
0.0	Ozon_Old
2.2	Ozon_Old
0.0	Ozon_Old
1.9	Ozon_Old
0.0	Ozon_Old
0.0	Ozon_Old
30.72	Ozon_Old
21.6	Ozon_Old
0.0	Ozon_Old
22.78	Ozon_Old
2.18	Ozon_Old
27.23	Ozon_Old
0.0	Ozon_Old
0.33	Ozon_Old
13.88	Ozon_Old
22.98	Ozon_Old
5.92	Ozon_Old
14.7	Ozon_Old
5.13	Ozon_Old
2.33	Ozon_Old
0.0	Ozon_Old
0.58	Ozon_Old
19.68	Ozon_Old
21.72	Ozon_Old
8.28	Ozon_Old
20.58	Ozon_Old
23.95	Ozon_Old
16.52	Ozon_Old
0.0	Ozon_Old
25.15	Ozon_Old
50.57	Ozon_Old
0.0	Ozon_Old
0.0	Ozon_Old
0.0	Ozon_Old
15.22	Ozon_Old
21.28	Ozon_Old
6.23	Ozon_Old
25.32	Ozon_Old
29.98	Ozon_Old
0.1	Ozon_Old
25.13	Ozon_Old
23.47	Ozon_Old
7.03	Ozon_Old
1.25	Ozon_Old
18.67	Ozon_Old
0.0	Ozon_Old
0.0	Ozon_Old
23.72	Ozon_Old
24.72	Ozon_Old
2.45	Ozon_Old
4.25	Ozon_Old
10.03	Ozon_Old
17.98	Ozon_Old
0.0	Ozon_Old
24.52	Ozon_Old
0.0	Ozon_Old
59.43	Ozon_Old
0.35	Ozon_Old
22.52	Ozon_Old
19.95	Ozon_Old
0.0	Ozon_Old
0.0	Ozon_Old
0.18	Ozon_Old
0.0	Ozon_Old
0.0	Ozon_Old
